City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,te anau,-45.4167,167.7167,22.39,56,100,1.81,NZ,1675060370
240,iqaluit,63.7506,-68.5145,-35.15,73,75,0.0,CA,1675060371
241,havoysund,70.9963,24.6622,-1.87,91,100,0.54,NO,1675060371
242,gejiu,23.306,103.1635,14.47,37,0,2.3,CN,1675060371
243,leningradskiy,69.3833,178.4167,-18.49,98,100,4.2,RU,1675060372
244,poya,-21.35,165.15,25.04,80,89,2.78,NC,1675060372
245,belyy yar,53.6039,91.3903,-6.06,70,0,7.0,RU,1675060373
246,mar del plata,-38.0023,-57.5575,21.04,79,20,8.05,AR,1675060372
247,nikolayevsk-na-amure,53.1406,140.73,-22.28,90,8,2.49,RU,1675060373
248,carauari,-4.8828,-66.8958,22.29,99,99,1.11,BR,1675060374
249,canete,-37.8,-73.4,16.38,90,99,2.92,CL,1675060374
250,henties bay,-22.116,14.2845,17.7,81,30,4.12,NA,1675060375
251,port moresby,-9.4431,147.1797,30.68,74,75,5.14,PG,1675060238
252,korla,41.7597,86.1469,-4.14,50,100,1.58,CN,1675060375
253,kuusamo,65.9667,29.1833,-2.98,93,100,4.12,FI,1675060376
254,mahebourg,-20.4081,57.7,30.16,74,20,1.54,MU,1675060376
255,dingle,10.9995,122.6711,24.22,93,100,5.4,PH,1675060377
256,asmara,15.3333,38.9333,15.47,51,13,1.25,ER,1675060377
257,ucluelet,48.9329,-125.5528,1.72,88,6,2.36,CA,1675060377
258,tomatlan,19.9333,-105.25,18.94,78,0,1.03,MX,1675060378
259,merrill,45.1805,-89.6835,-16.73,65,100,2.06,US,1675060092
260,karatau,43.1667,70.4667,-0.83,81,100,1.42,KZ,1675060379
261,kourou,5.1552,-52.6478,25.03,92,76,2.09,GF,1675060379
262,grand gaube,-20.0064,57.6608,30.22,74,100,2.24,MU,1675060380
263,okhotsk,59.3833,143.3,-19.96,74,100,8.22,RU,1675060337
264,dunedin,-45.8742,170.5036,19.89,70,100,0.45,NZ,1675060313
265,pochutla,15.7432,-96.4661,23.23,68,0,1.34,MX,1675060380
266,shepsi,44.0361,39.1489,7.93,64,99,4.55,RU,1675060381
267,constantine,36.365,6.6147,-1.33,100,20,0.0,DZ,1675060266
268,baruun-urt,46.6806,113.2792,-11.51,81,100,2.31,MN,1675060381
269,chicama,-7.8447,-79.1469,19.3,78,57,1.09,PE,1675060382
270,jacmel,18.2342,-72.5347,23.91,75,7,2.46,HT,1675060383
271,roebourne,-20.7833,117.1333,34.72,47,45,6.03,AU,1675060383
272,seoul,37.5683,126.9778,3.76,28,0,3.6,KR,1675059600
273,asyut,27.181,31.1837,11.1,51,30,5.83,EG,1675060384
274,concepcion,-36.827,-73.0498,15.89,88,0,2.06,CL,1675060203
275,qasigiannguit,68.8193,-51.1922,-8.86,69,100,3.49,GL,1675060385
276,erdenet,49.0333,104.0833,-9.81,81,31,2.05,MN,1675060386
277,makakilo city,21.3469,-158.0858,20.66,86,100,3.09,US,1675060386
278,daru,-9.0763,143.2092,29.63,72,100,3.67,PG,1675060387
279,galeras,9.161,-75.0481,22.05,78,9,1.37,CO,1675060387
280,katherine,-14.4667,132.2667,33.18,55,40,3.09,AU,1675060388
281,port-gentil,-0.7193,8.7815,25.98,94,20,1.03,GA,1675060388
282,ribeira grande,38.5167,-28.7,13.21,80,42,2.24,PT,1675060389
283,yulara,-25.2406,130.9889,31.39,33,100,1.34,AU,1675060389
284,humaita,-7.5061,-63.0208,21.59,96,100,0.95,BR,1675060390
285,bethel,41.3712,-73.414,6.08,78,0,2.57,US,1675060390
286,voronezhskaya,45.2106,39.5667,3.75,69,91,4.6,RU,1675060391
287,trelew,-43.249,-65.3051,32.04,17,0,12.99,AR,1675060146
288,lagos,6.5833,3.75,25.18,80,81,0.86,NG,1675060303
289,along,28.1667,94.7667,28.53,25,0,0.87,IN,1675060393
290,kupang,-10.1667,123.5833,30.32,79,40,4.12,ID,1675060394
291,hami,42.8,93.45,-2.56,24,5,1.63,CN,1675060396
292,nichinan,31.6,131.3667,12.82,44,1,5.26,JP,1675060396
293,basoko,1.2391,23.616,26.2,63,59,2.48,CD,1675060396
294,coutances,49.05,-1.4333,8.1,96,100,4.41,FR,1675060397
295,sisimiut,66.9395,-53.6735,-9.42,73,100,2.83,GL,1675060398
296,altamont,42.2068,-121.7372,-8.09,54,0,2.06,US,1675060398
297,christchurch,-43.5333,172.6333,23.11,68,97,5.66,NZ,1675059786
298,emba,48.8264,58.1442,-9.53,83,20,1.07,KZ,1675060399
299,tromso,69.6496,18.957,-6.99,93,0,1.03,NO,1675060399
300,omboue,-1.5746,9.2618,26.14,80,100,2.32,GA,1675060400
301,san pedro,14.35,121.0167,30.2,59,40,1.03,PH,1675060401
302,vardo,70.3705,31.1107,-3.01,100,75,3.09,NO,1675060401
303,avera,33.194,-82.5271,9.1,99,100,1.2,US,1675060402
304,danilovka,50.3557,44.1168,-3.08,93,100,4.71,RU,1675060403
305,maniitsoq,65.4167,-52.9,-5.13,77,100,6.85,GL,1675060403
306,kaitangata,-46.2817,169.8464,16.25,82,100,2.4,NZ,1675060404
307,san ramon,37.7799,-121.978,8.54,55,100,4.12,US,1675060405
308,bartow,27.8964,-81.8431,19.03,87,94,2.67,US,1675060405
309,wajir,1.7471,40.0573,26.98,57,20,6.69,KE,1675060406
310,phan thiet,10.9333,108.1,27.8,53,100,4.9,VN,1675060406
311,san antonio,29.4241,-98.4936,10.64,87,100,7.72,US,1675060395
312,gbarnga,6.9956,-9.4722,20.52,99,99,0.68,LR,1675060408
313,ampanihy,-24.7,44.75,28.04,60,31,2.06,MG,1675060409
314,bulungu,-4.55,18.6,20.98,93,100,1.16,CD,1675060409
315,oriximina,-1.7656,-55.8661,22.37,96,100,1.7,BR,1675060410
316,acapulco,16.8634,-99.8901,23.9,94,0,0.0,MX,1675060387
317,shasta lake,40.6804,-122.3708,4.4,57,0,4.11,US,1675060411
318,mersing,2.4312,103.8405,26.95,78,40,7.2,MY,1675060411
319,kavieng,-2.5744,150.7967,29.48,68,93,3.61,PG,1675060412
320,turinsk,58.0458,63.696,-10.08,91,84,3.68,RU,1675060412
321,adrar,20.5022,-10.0711,10.49,46,79,3.48,MR,1675060413
322,qaqortoq,60.7167,-46.0333,-7.31,71,100,3.11,GL,1675060413
323,abbeville,50.1,1.8333,9.58,93,100,6.23,FR,1675060414
324,hualmay,-11.0964,-77.6139,21.48,86,100,2.52,PE,1675060414
325,pundaguitan,6.3711,126.1689,26.69,81,93,3.72,PH,1675060415
326,gidole,5.65,37.3667,21.42,32,2,1.45,ET,1675060415
327,stephenville,32.2207,-98.2023,-2.26,86,100,7.2,US,1675060415
328,flin flon,54.7682,-101.865,-27.2,99,100,2.44,CA,1675060416
329,beloha,-25.1667,45.05,28.29,58,18,3.34,MG,1675060416
330,delta del tigre,-34.7633,-56.3853,23.27,75,0,4.26,UY,1675060417
331,charters towers,-20.1,146.2667,28.98,58,100,6.65,AU,1675060417
332,sakakah,29.9697,40.2064,16.76,36,25,1.41,SA,1675060418
333,lata,40.1629,-8.3327,3.37,82,11,2.11,PT,1675060418
334,tura,25.5198,90.2201,28.2,28,5,2.17,IN,1675060418
335,mayo,38.8876,-76.5119,7.19,87,0,1.79,US,1675060419
336,tautira,-17.7333,-149.15,27.19,74,2,4.67,PF,1675060419
337,souillac,-20.5167,57.5167,30.21,74,20,1.54,MU,1675060420
338,bilma,18.6853,12.9164,19.16,13,49,3.4,NE,1675060420
339,velikovechnoye,44.934,39.755,3.75,70,95,4.02,RU,1675060420
340,samarai,-10.6167,150.6667,29.2,74,85,3.96,PG,1675060421
341,ust-maya,60.4167,134.5333,-40.35,100,98,0.57,RU,1675060421
342,lubao,14.9167,120.55,31.04,52,55,6.38,PH,1675060422
343,saint-pierre,-21.3393,55.4781,30.66,66,0,2.06,RE,1675060422
344,xinzhi,36.4989,111.7047,7.02,21,0,1.74,CN,1675060422
345,meridian,43.6121,-116.3915,-7.73,71,0,5.14,US,1675060423
346,mareeba,-17.0,145.4333,29.13,79,97,2.52,AU,1675060423
347,ilembula,-8.9,34.5833,22.6,62,18,2.22,TZ,1675060424
348,vao,-22.6667,167.4833,24.98,70,18,4.64,NC,1675060424
349,grand-lahou,5.1367,-5.0242,25.3,87,79,2.63,CI,1675060425
350,walvis bay,-22.9575,14.5053,17.27,71,5,3.98,NA,1675060425
351,ilebo,-4.3167,20.5833,20.86,97,100,2.05,CD,1675060426
352,ola,59.5833,151.2833,-11.7,74,100,4.92,RU,1675060426
353,salalah,17.0151,54.0924,23.05,31,0,3.6,OM,1675060426
354,fare,-16.7,-151.0167,27.15,76,6,5.48,PF,1675060427
355,arlit,18.7369,7.3853,14.55,6,93,3.3,NE,1675060427
356,san rafael,-34.6177,-68.3301,22.13,68,0,5.04,AR,1675060428
357,kitaibaraki,36.7833,140.75,7.34,46,41,2.52,JP,1675060428
358,noumea,-22.2763,166.4572,27.99,75,58,3.54,NC,1675059958
359,anadyr,64.75,177.4833,-1.72,92,100,23.0,RU,1675060429
360,takayama,36.1333,137.25,-2.53,91,72,3.78,JP,1675060429
361,ayan,56.45,138.1667,-22.19,66,100,5.9,RU,1675060430
362,north bend,43.4065,-124.2243,0.95,75,0,3.09,US,1675060366
363,dauriya,49.9333,116.8667,-13.78,94,100,0.78,RU,1675060430
